time,price,number
Oct 29 2014 01 0,71.393,101
Oct 30 2014 01 0,76.412,113
Oct 31 2014 01 0,70.628,168
Nov 01 2014 01 0,72.539,175
Nov 02 2014 01 0,67.338,150
Nov 03 2014 01 0,65.422,129
Nov 04 2014 01 0,70.292,101
Nov 05 2014 01 0,67.146,124
Nov 06 2014 01 0,66.954,120
Nov 07 2014 01 0,65.209,146
Nov 08 2014 01 0,71.174,146
Nov 09 2014 01 0,65.975,106
Nov 10 2014 01 0,68.56,107
Nov 11 2014 01 0,68.124,128
Nov 12 2014 01 0,55.667,216
Nov 13 2014 01 0,53.727,148
Nov 14 2014 01 0,58.11,157
Nov 15 2014 01 0,58.567,127
Nov 16 2014 01 0,55.733,145
Nov 17 2014 01 0,52.73,139
Nov 18 2014 01 0,55.804,86
Nov 19 2014 01 0,55.126,116
Nov 20 2014 01 0,56.332,113
Nov 21 2014 01 0,54.97,130
Nov 22 2014 01 0,56.622,145
Nov 23 2014 01 0,51.462,141
Nov 24 2014 01 0,53.532,127
Nov 25 2014 01 0,59.279,113
Nov 26 2014 01 0,60.968,133
Nov 27 2014 01 0,63.178,185
Nov 28 2014 01 0,61.766,172
Nov 29 2014 01 0,90.601,18
Nov 30 2014 01 0,51.632,261
Dec 01 2014 01 0,55.029,155
Dec 02 2014 01 0,56.058,158
Dec 03 2014 01 0,59.336,125
Dec 04 2014 01 0,61.426,129
Dec 05 2014 01 0,66.159,140
Dec 06 2014 01 0,67.022,179
Dec 07 2014 01 0,65.838,164
Dec 08 2014 01 0,61.578,153
Dec 09 2014 01 0,62.017,155
Dec 10 2014 01 0,62.902,152
Dec 11 2014 01 0,66.535,142
Dec 12 2014 01 0,66.427,129
Dec 13 2014 01 0,66.113,174
Dec 14 2014 01 0,63.428,179
Dec 15 2014 01 0,64.163,141
Dec 16 2014 01 0,58.239,158
Dec 17 2014 01 0,58.799,168
Dec 18 2014 01 0,60.906,149
Dec 19 2014 01 0,61.836,191
Dec 20 2014 01 0,60.266,173
Dec 21 2014 01 0,58.846,155
Dec 22 2014 01 0,61.133,167
Dec 23 2014 01 0,62.511,145
Dec 24 2014 01 0,63.196,204
Dec 25 2014 01 0,72.273,196
Dec 26 2014 01 0,74.068,200
Dec 27 2014 01 0,75.062,194
Dec 28 2014 01 0,74.365,167
Dec 29 2014 01 0,70.54,204
Dec 30 2014 01 0,73.747,180
Dec 31 2014 01 0,73.447,161
Jan 01 2015 01 0,72.79,142
Jan 02 2015 01 0,73.944,220
Jan 03 2015 01 0,71.837,198
Jan 04 2015 01 0,71.248,186
Jan 05 2015 01 0,71.066,187
Jan 06 2015 01 0,70.147,174
Jan 07 2015 01 0,75.11,150
Jan 08 2015 01 0,74.223,173
Jan 09 2015 01 0,72.925,222
Jan 10 2015 01 0,69.653,233
Jan 11 2015 01 0,66.09,232
Jan 12 2015 01 0,67.915,205
Jan 13 2015 01 0,65.943,229
Jan 14 2015 01 0,67.502,197
Jan 15 2015 01 0,67.471,202
Jan 16 2015 01 0,65.58,237
Jan 17 2015 01 0,62.807,243
Jan 18 2015 01 0,63.191,219
Jan 19 2015 01 0,63.99,214
Jan 20 2015 01 0,62.641,209
Jan 21 2015 01 0,64.397,195
Jan 22 2015 01 0,63.889,189
Jan 23 2015 01 0,63.605,215
Jan 24 2015 01 0,64.461,274
Jan 25 2015 01 0,62.487,237
Jan 26 2015 01 0,57.944,246
Jan 27 2015 01 0,58.28,238
Jan 28 2015 01 0,59.933,198
Jan 29 2015 01 0,58.081,212
Jan 30 2015 01 0,59.206,266
Jan 31 2015 01 0,62.477,259
Feb 01 2015 01 0,57.207,270
Feb 02 2015 01 0,57.714,225
Feb 03 2015 01 0,58.902,222
Feb 04 2015 01 0,59.512,208
Feb 05 2015 01 0,60.602,196
Feb 06 2015 01 0,57.977,250
Feb 07 2015 01 0,60.349,304
Feb 08 2015 01 0,56.142,232
Feb 09 2015 01 0,59.168,204
Feb 10 2015 01 0,58.275,178
Feb 11 2015 01 0,58.999,207
Feb 12 2015 01 0,57.103,226
Feb 13 2015 01 0,56.761,239
Feb 14 2015 01 0,59.731,286
Feb 15 2015 01 0,58.579,259
Feb 16 2015 01 0,57.02,266
Feb 17 2015 01 0,57.406,242
Feb 18 2015 01 0,57.73,237
Feb 19 2015 01 0,58.028,219
Feb 20 2015 01 0,58.716,242
Feb 21 2015 01 0,58.469,227
Feb 22 2015 01 0,59.228,213
Feb 23 2015 01 0,58.91,227
Feb 24 2015 01 0,61.297,200
Feb 25 2015 01 0,60.027,203
Feb 26 2015 01 0,61.896,191
Feb 27 2015 01 0,60.767,235
Feb 28 2015 01 0,61.399,222
Mar 01 2015 01 0,61.606,209
Mar 02 2015 01 0,61.306,203
Mar 03 2015 01 0,61.035,187
Mar 04 2015 01 0,60.309,195
Mar 05 2015 01 0,59.416,207
Mar 06 2015 01 0,59.769,201
Mar 07 2015 01 0,58.709,237
Mar 08 2015 01 0,58.183,223
Mar 09 2015 01 0,56.937,200
Mar 10 2015 01 0,57.914,197
Mar 11 2015 01 0,56.927,187
Mar 12 2015 01 0,57.892,214
Mar 13 2015 01 0,59.019,286
Mar 14 2015 01 0,61.057,309
Mar 15 2015 01 0,58.553,286
Mar 16 2015 01 0,57.134,272
Mar 17 2015 01 0,60.834,200
Mar 18 2015 01 0,61.817,197
Mar 19 2015 01 0,62.911,196
Mar 20 2015 01 0,62.741,204
