time,price,number
Oct 12 2014 01 0,38.545,291
Oct 13 2014 01 0,37.842,257
Oct 14 2014 01 0,38.416,224
Oct 15 2014 01 0,37.914,252
Oct 16 2014 01 0,38.648,232
Oct 17 2014 01 0,36.251,277
Oct 18 2014 01 0,35.955,312
Oct 19 2014 01 0,34.77,262
Oct 20 2014 01 0,34.357,249
Oct 21 2014 01 0,34.976,207
Oct 22 2014 01 0,36.147,236
Oct 23 2014 01 0,37.517,215
Oct 24 2014 01 0,38.572,277
Oct 25 2014 01 0,39.321,245
Oct 26 2014 01 0,33.011,341
Oct 27 2014 01 0,33.734,234
Oct 28 2014 01 0,35.289,215
Oct 29 2014 01 0,34.288,199
Oct 30 2014 01 0,39.993,212
Oct 31 2014 01 0,33.56,355
Nov 01 2014 01 0,33.569,338
Nov 02 2014 01 0,32.86,325
Nov 03 2014 01 0,32.923,226
Nov 04 2014 01 0,34.482,240
Nov 05 2014 01 0,33.083,229
Nov 06 2014 01 0,33.935,228
Nov 07 2014 01 0,34.501,260
Nov 08 2014 01 0,34.408,298
Nov 09 2014 01 0,33.217,243
Nov 10 2014 01 0,32.94,237
Nov 11 2014 01 0,34.155,244
Nov 12 2014 01 0,26.227,503
Nov 13 2014 01 0,26.532,354
Nov 14 2014 01 0,26.962,323
Nov 15 2014 01 0,27.506,313
Nov 16 2014 01 0,26.711,350
Nov 17 2014 01 0,26.281,297
Nov 18 2014 01 0,26.726,240
Nov 19 2014 01 0,26.854,235
Nov 20 2014 01 0,26.744,242
Nov 21 2014 01 0,27.059,252
Nov 22 2014 01 0,26.441,290
Nov 23 2014 01 0,26.097,287
Nov 24 2014 01 0,25.763,254
Nov 25 2014 01 0,29.633,210
Nov 26 2014 01 0,29.69,260
Nov 27 2014 01 0,31.286,339
Nov 28 2014 01 0,32.149,348
Nov 29 2014 01 0,54.427,55
Nov 30 2014 01 0,26.798,564
Dec 01 2014 01 0,25.197,308
Dec 02 2014 01 0,27.058,286
